student_track_id,student_id,track_name,date_enrolled,date_completed,track_completed,days_for_completion,completion_bucket
1,295506,"Data Scientist",2022-10-20,NULL,0,NULL,NULL
2,295496,"Data Analyst",2022-10-20,NULL,0,NULL,NULL
3,295456,"Business Analyst",2022-10-20,NULL,0,NULL,NULL
4,295448,"Data Analyst",2022-10-20,NULL,0,NULL,NULL
5,295421,"Data Scientist",2022-10-20,NULL,0,NULL,NULL
6,295370,"Business Analyst",2022-10-19,NULL,0,NULL,NULL
7,295328,"Data Analyst",2022-10-19,NULL,0,NULL,NULL
8,295307,"Data Scientist",2022-10-20,NULL,0,NULL,NULL
9,295303,"Data Scientist",2022-10-19,NULL,0,NULL,NULL
10,295300,"Data Scientist",2022-10-19,NULL,0,NULL,NULL
11,295300,"Data Analyst",2022-10-19,NULL,0,NULL,NULL
12,295300,"Business Analyst",2022-10-19,NULL,0,NULL,NULL
13,295283,"Data Scientist",2022-10-19,NULL,0,NULL,NULL
14,295264,"Data Analyst",2022-10-19,NULL,0,NULL,NULL
15,295260,"Data Analyst",2022-10-19,NULL,0,NULL,NULL
16,295258,"Data Scientist",2022-10-19,NULL,0,NULL,NULL
17,295253,"Data Scientist",2022-10-18,NULL,0,NULL,NULL
18,295241,"Data Scientist",2022-10-18,NULL,0,NULL,NULL
19,295225,"Data Scientist",2022-10-18,NULL,0,NULL,NULL
20,295224,"Data Analyst",2022-10-18,NULL,0,NULL,NULL
21,295219,"Data Analyst",2022-10-18,NULL,0,NULL,NULL
22,295211,"Data Scientist",2022-10-18,NULL,0,NULL,NULL
23,295207,"Data Analyst",2022-10-18,NULL,0,NULL,NULL
24,295181,"Data Scientist",2022-10-18,NULL,0,NULL,NULL
25,295177,"Data Scientist",2022-10-18,NULL,0,NULL,NULL
26,295177,"Data Analyst",2022-10-18,NULL,0,NULL,NULL
27,295177,"Business Analyst",2022-10-18,NULL,0,NULL,NULL
28,295176,"Data Scientist",2022-10-18,NULL,0,NULL,NULL
29,295174,"Data Analyst",2022-10-18,NULL,0,NULL,NULL
30,295164,"Data Analyst",2022-10-18,NULL,0,NULL,NULL
31,295164,"Business Analyst",2022-10-18,NULL,0,NULL,NULL
32,295151,"Data Scientist",2022-10-18,NULL,0,NULL,NULL
33,295122,"Data Scientist",2022-10-18,NULL,0,NULL,NULL
34,295106,"Data Scientist",2022-10-18,NULL,0,NULL,NULL
35,295088,"Data Analyst",2022-10-19,NULL,0,NULL,NULL
36,295058,"Data Analyst",2022-10-17,NULL,0,NULL,NULL
37,295056,"Data Analyst",2022-10-17,NULL,0,NULL,NULL
38,295050,"Data Analyst",2022-10-17,NULL,0,NULL,NULL
39,295047,"Business Analyst",2022-10-17,NULL,0,NULL,NULL
40,295000,"Data Analyst",2022-10-17,NULL,0,NULL,NULL
41,294981,"Business Analyst",2022-10-16,NULL,0,NULL,NULL
42,294962,"Data Scientist",2022-10-16,NULL,0,NULL,NULL
43,294960,"Data Analyst",2022-10-16,NULL,0,NULL,NULL
44,294950,"Data Analyst",2022-10-16,NULL,0,NULL,NULL
45,294949,"Data Scientist",2022-10-16,NULL,0,NULL,NULL
46,294948,"Data Analyst",2022-10-16,NULL,0,NULL,NULL
47,294925,"Data Analyst",2022-10-16,NULL,0,NULL,NULL
48,294924,"Data Analyst",2022-10-16,NULL,0,NULL,NULL
49,294914,"Data Scientist",2022-10-16,NULL,0,NULL,NULL
50,294907,"Data Analyst",2022-10-16,NULL,0,NULL,NULL
51,294857,"Data Scientist",2022-10-15,NULL,0,NULL,NULL
52,294853,"Data Analyst",2022-10-17,NULL,0,NULL,NULL
53,294849,"Data Scientist",2022-10-15,NULL,0,NULL,NULL
54,294803,"Data Scientist",2022-10-15,NULL,0,NULL,NULL
55,294800,"Data Analyst",2022-10-15,NULL,0,NULL,NULL
56,294792,"Data Analyst",2022-10-15,NULL,0,NULL,NULL
57,294787,"Data Scientist",2022-10-15,NULL,0,NULL,NULL
